class_index,class,height,width,scale by
0,AFRICAN CROWNED CRANE,150,150,1
1,AFRICAN FIREFINCH,150,150,1
2,ALBATROSS,150,150,1
3,ALEXANDRINE PARAKEET,150,150,1
4,AMERICAN AVOCET,150,150,1
5,AMERICAN BITTERN,150,150,1
6,AMERICAN COOT,150,150,1
7,AMERICAN GOLDFINCH,150,150,1
8,AMERICAN KESTREL,150,150,1
9,AMERICAN PIPIT,150,150,1
10,AMERICAN REDSTART,150,150,1
11,ANHINGA,150,150,1
12,ANNAS HUMMINGBIRD,150,150,1
13,ANTBIRD,150,150,1
14,ARARIPE MANAKIN,150,150,1
15,ASIAN CRESTED IBIS,150,150,1
16,BALD EAGLE,150,150,1
17,BALD IBIS,150,150,1
18,BALI STARLING,150,150,1
19,BALTIMORE ORIOLE,150,150,1
20,BANANAQUIT,150,150,1
21,BANDED BROADBILL,150,150,1
22,BANDED PITA,150,150,1
23,BAR-TAILED GODWIT,150,150,1
24,BARN OWL,150,150,1
25,BARN SWALLOW,150,150,1
26,BARRED PUFFBIRD,150,150,1
27,BAY-BREASTED WARBLER,150,150,1
28,BEARDED BARBET,150,150,1
29,BEARDED BELLBIRD,150,150,1
30,BEARDED REEDLING,150,150,1
31,BELTED KINGFISHER,150,150,1
32,BIRD OF PARADISE,150,150,1
33,BLACK & YELLOW bROADBILL,150,150,1
34,BLACK BAZA,150,150,1
35,BLACK FRANCOLIN,150,150,1
36,BLACK SKIMMER,150,150,1
37,BLACK SWAN,150,150,1
38,BLACK TAIL CRAKE,150,150,1
39,BLACK THROATED BUSHTIT,150,150,1
40,BLACK THROATED WARBLER,150,150,1
41,BLACK VULTURE,150,150,1
42,BLACK-CAPPED CHICKADEE,150,150,1
43,BLACK-NECKED GREBE,150,150,1
44,BLACK-THROATED SPARROW,150,150,1
45,BLACKBURNIAM WARBLER,150,150,1
46,BLONDE CRESTED WOODPECKER,150,150,1
47,BLUE COAU,150,150,1
48,BLUE GROUSE,150,150,1
49,BLUE HERON,150,150,1
50,BLUE THROATED TOUCANET,150,150,1
51,BOBOLINK,150,150,1
52,BORNEAN BRISTLEHEAD,150,150,1
53,BORNEAN LEAFBIRD,150,150,1
54,BORNEAN PHEASANT,150,150,1
55,BRANDT CORMARANT,150,150,1
56,BROWN CREPPER,150,150,1
57,BROWN NOODY,150,150,1
58,BROWN THRASHER,150,150,1
59,BULWERS PHEASANT,150,150,1
60,CACTUS WREN,150,150,1
